id,insee_code,start_datetime,end_datetime,name,successors,ancestors,parents,population,insee_modification
COM01083@1942-01-01,01083,1942-01-01 00:00:00,9999-12-31 23:59:59,Chaneins,,,DEP01@1860-07-01,847,0
COM01084@1942-01-01,01084,1942-01-01 00:00:00,9999-12-31 23:59:59,Chanoz-Châtenay,,,DEP01@1860-07-01,756,0
COM01085@1942-01-01,01085,1942-01-01 00:00:00,9999-12-31 23:59:59,La Chapelle-du-Châtelard,,,DEP01@1860-07-01,375,0
COM01086@1942-01-01,01086,1942-01-01 00:00:00,1973-12-31 23:59:59,Charancin,COM01414@1942-01-01,,DEP01@1860-07-01,NULL,330
COM01087@1942-01-01,01087,1942-01-01 00:00:00,9999-12-31 23:59:59,Charix,,,DEP01@1860-07-01,284,0
COM01088@1942-01-01,01088,1942-01-01 00:00:00,1991-03-20 23:59:59,Charnoz,COM01088@1991-03-21,,DEP01@1860-07-01,NULL,100
COM01089@1942-01-01,01089,1942-01-01 00:00:00,9999-12-31 23:59:59,Château-Gaillard,,,DEP01@1860-07-01,1940,0
COM01090@1942-01-01,01090,1942-01-01 00:00:00,9999-12-31 23:59:59,Châtenay,,,DEP01@1860-07-01,339,0
COM01091@1942-01-01,01091,1942-01-01 00:00:00,1973-10-31 23:59:59,Châtillon-de-Michaille,COM01091@1973-11-01,,DEP01@1860-07-01,NULL,110
COM01092@1942-01-01,01092,1942-01-01 00:00:00,9999-12-31 23:59:59,Châtillon-la-Palud,,,DEP01@1860-07-01,1573,0
COM01093@1942-01-01,01093,1942-01-01 00:00:00,9999-12-31 23:59:59,Châtillon-sur-Chalaronne,,,DEP01@1860-07-01,4957,0
COM01094@1942-01-01,01094,1942-01-01 00:00:00,9999-12-31 23:59:59,Chavannes-sur-Reyssouze,,,DEP01@1860-07-01,732,0
COM01095@1942-01-01,01095,1942-01-01 00:00:00,2016-12-31 23:59:59,Chavannes-sur-Suran,COM01095@2017-01-01,,DEP01@1860-07-01,641,331
COM01096@1942-01-01,01096,1942-01-01 00:00:00,9999-12-31 23:59:59,Chaveyriat,,,DEP01@1860-07-01,975,0
COM01097@1942-01-01,01097,1942-01-01 00:00:00,9999-12-31 23:59:59,Chavornay,,,DEP01@1860-07-01,217,0
COM01098@1942-01-01,01098,1942-01-01 00:00:00,2016-12-31 23:59:59,Chazey-Bons,COM01098@2017-01-01,,DEP01@1860-07-01,831,331
COM01099@1942-01-01,01099,1942-01-01 00:00:00,9999-12-31 23:59:59,Chazey-sur-Ain,,,DEP01@1860-07-01,1544,0
