id,insee_code,name,start_datetime,end_datetime,successors,ancestors,population,insee_modification
01095@1942-01-01,01095,Chavannes-sur-Suran,1942-01-01 00:00:00,9999-12-31 23:59:59,,,641,0
01096@1942-01-01,01096,Chaveyriat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,975,0
01097@1942-01-01,01097,Chavornay,1942-01-01 00:00:00,9999-12-31 23:59:59,,,217,0
01098@1942-01-01,01098,Chazey-Bons,1942-01-01 00:00:00,9999-12-31 23:59:59,,,831,0
01099@1942-01-01,01099,Chazey-sur-Ain,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1544,0
01100@1942-01-01,01100,Cheignieu-la-Balme,1942-01-01 00:00:00,9999-12-31 23:59:59,,,146,0
01101@1942-01-01,01101,Chevillard,1942-01-01 00:00:00,9999-12-31 23:59:59,,,159,0
01102@1942-01-01,01102,Chevroux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,944,0
01103@1942-01-01,01103,Chevry,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1396,0
01104@1942-01-01,01104,Chézery,1942-01-01 00:00:00,1962-08-26 23:59:59,01104@1962-08-27,,NULL,110
01105@1942-01-01,01105,Civrieux,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1441,0
01106@1942-01-01,01106,Cize,1942-01-01 00:00:00,9999-12-31 23:59:59,,,173,0
01107@1942-01-01,01107,Cleyzieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,136,0
01108@1942-01-01,01108,Coligny,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1164,0
01109@1942-01-01,01109,Collonges,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2104,0
01110@1942-01-01,01110,Colomieu,1942-01-01 00:00:00,9999-12-31 23:59:59,,,124,0
01111@1942-01-01,01111,Conand,1942-01-01 00:00:00,9999-12-31 23:59:59,,,113,0
01112@1942-01-01,01112,Condamine,1942-01-01 00:00:00,9999-12-31 23:59:59,,,417,0
01113@1942-01-01,01113,Condeissiat,1942-01-01 00:00:00,9999-12-31 23:59:59,,,806,0
01114@1942-01-01,01114,Confort,1942-01-01 00:00:00,9999-12-31 23:59:59,,,556,0
01115@1942-01-01,01115,Confrançon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1321,0
