id,insee_code,name,start_datetime,end_datetime,successors,ancestors,population,insee_modification
COM49264@1942-01-01,49264,Saint-André-de-la-Marche,1942-01-01 00:00:00,2015-12-14 23:59:59,COM49301@2015-12-15,,2874,331
COM49265@1942-01-01,49265,Saint-Aubin-de-Luigné,1942-01-01 00:00:00,2015-12-30 23:59:59,COM49292@2015-12-31,,1261,331
COM49266@1942-01-01,49266,Saint-Augustin-des-Bois,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1172,0
COM49267@1942-01-01,49267,Saint-Barthélemy-d'Anjou,1942-01-01 00:00:00,9999-12-31 23:59:59,,,9077,0
COM49268@1942-01-01,49268,Sainte-Christine,1942-01-01 00:00:00,2015-12-14 23:59:59,COM49092@2015-12-15,,813,331
COM49269@1942-01-01,49269,Saint-Christophe-du-Bois,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2584,0
COM49270@1942-01-01,49270,Saint-Christophe-la-Couperie,1942-01-01 00:00:00,2015-12-14 23:59:59,COM49069@2015-12-15,,850,331
COM49271@1942-01-01,49271,Saint-Clément-de-la-Place,1942-01-01 00:00:00,9999-12-31 23:59:59,,,2118,0
COM49272@1942-01-01,49272,Saint-Clément-des-Levées,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1157,0
COM49273@1942-01-01,49273,Saint-Crespin-sur-Moine,1942-01-01 00:00:00,2015-12-14 23:59:59,COM49301@2015-12-15,,1588,331
COM49274@1942-01-01,49274,Saint-Cyr-en-Bourg,1942-01-01 00:00:00,9999-12-31 23:59:59,,,937,0
COM49275@1942-01-01,49275,Saint-Ellier,1942-01-01 00:00:00,1972-12-31 23:59:59,COM49078@1973-01-01,,NULL,310
COM49276@1942-01-01,49276,Saint-Florent-le-Vieil,1942-01-01 00:00:00,2015-12-14 23:59:59,COM49244@2015-12-15,,2809,331
COM49277@1942-01-01,49277,Sainte-Gemmes-d'Andigné,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1476,0
COM49278@1942-01-01,49278,Sainte-Gemmes-sur-Loire,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3521,0
COM49279@1942-01-01,49279,Saint-Georges-des-Sept-Voies,1942-01-01 00:00:00,2015-12-31 23:59:59,COM49149@2016-01-01,,694,331
COM49280@1942-01-01,49280,Saint-Georges-du-Bois,1942-01-01 00:00:00,2015-12-31 23:59:59,COM49138@2016-01-01,,428,331
COM49281@1942-01-01,49281,Saint-Georges-du-Puy-de-la-Garde,1942-01-01 00:00:00,1972-12-31 23:59:59,COM49281@1973-01-01,,NULL,110
COM49282@1942-01-01,49282,Saint-Georges-sur-Layon,1942-01-01 00:00:00,9999-12-31 23:59:59,,,783,0
COM49283@1942-01-01,49283,Saint-Georges-sur-Loire,1942-01-01 00:00:00,9999-12-31 23:59:59,,,3529,0
COM49284@1942-01-01,49284,Saint-Germain-des-Prés,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1400,0
COM49285@1942-01-01,49285,Saint-Germain-sur-Moine,1942-01-01 00:00:00,2015-12-14 23:59:59,COM49301@2015-12-15,,2928,331
COM49286@1942-01-01,49286,Saint-Hilaire-du-Bois,1942-01-01 00:00:00,1973-12-31 23:59:59,COM49373@2016-01-01,,NULL,330
COM49287@1942-01-01,49287,Saint-Hilaire-Saint-Florent,1942-01-01 00:00:00,1973-01-31 23:59:59,COM49328@1942-01-01,,NULL,330
COM49288@1942-01-01,49288,Saint-Jean-de-la-Croix,1942-01-01 00:00:00,9999-12-31 23:59:59,,,236,0
COM49289@1942-01-01,49289,Saint-Jean-de-Linières,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1766,0
COM49290@1942-01-01,49290,Saint-Jean-des-Mauvrets,1942-01-01 00:00:00,9999-12-31 23:59:59,,,1751,0
COM49291@1942-01-01,49291,Saint-Just-sur-Dive,1942-01-01 00:00:00,9999-12-31 23:59:59,,,397,0
COM49292@1942-01-01,49292,Saint-Lambert-du-Lattay,1942-01-01 00:00:00,2015-12-30 23:59:59,COM49292@2015-12-31,,2004,331
