siren;nom;nature;fiscalite;ptot;pmun;pcap;nb_com;insee;nom_com;ptot_com;pmun_com
240300566;CC du Val de Cher;CC;4TX;5812;5686;126;10;3010; Audes;450;446
240300566;CC du Val de Cher;CC;4TX;5812;5686;126;10;3301; Vaux;976;954
240300566;CC du Val de Cher;CC;4TX;5812;5686;126;10;3111; Estivareilles;1038;1005
240300566;CC du Val de Cher;CC;4TX;5812;5686;126;10;3297; Vallon-en-Sully;1761;1728
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3031; Bizeneuille;304;294
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3081; Colombier;319;311
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3129; Hyds;339;319
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3097; Deneuille-les-Mines;345;342
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3047;La Celle;418;413
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3305; Verneix;572;557
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3217; Saint-Angel;777;729
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3159; Malicorne;870;846
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3052; Chamblet;1073;1049
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3106; Durdat-Larequille;1271;1197
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3195; Néris-les-Bains;2850;2726
240300582;CC de Commentry Néris les Bains;CC;4TX;16225;15640;585;12;3082; Commentry;7087;6857
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3269; Sauvagny;97;94
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3243; Saint-Marcel-en-Murat;146;138
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3070; Chavenon;151;143
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3270; Sazeret;161;156
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3308; Vernusse;163;162
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3285; Tortezais;174;169
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3151; Louroux-de-Beaune;189;184
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3219; Saint-Bonnet-de-Four;207;198
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3032; Blomard;210;204
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3058; Chappes;213;207
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3303; Venas;242;237
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3256; Saint-Priest-en-Murat;259;255
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3191; Murat;289;280
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3020; Beaune-d'Allier;297;286
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3319; Voussac;471;460
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3189; Montvicq;737;726
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3027; Bézenet;993;966
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3104; Doyet;1257;1221
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3315; Villefranche-d'Allier;1399;1341
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3186; Montmarault;1598;1572
240300590;CC de la Région de Montmarault;CC;4TX;11514;11208;306;21;3084; Cosne-d'Allier;2261;2209
240300608;CA Montluçonnaise;CA;TPU;63009;61059;1950;10;3136; Lamaids;144;140
240300608;CA Montluçonnaise;CA;TPU;63009;61059;1950;10;3279; Teillet-Argenty;524;511
240300608;CA Montluçonnaise;CA;TPU;63009;61059;1950;10;3145; Lignerolles;641;622
240300608;CA Montluçonnaise;CA;TPU;63009;61059;1950;10;3212; Quinssaines;1095;1060
240300608;CA Montluçonnaise;CA;TPU;63009;61059;1950;10;3140; Lavault-Sainte-Anne;1249;1194
240300608;CA Montluçonnaise;CA;TPU;63009;61059;1950;10;3262; Saint-Victor;2063;2010
240300608;CA Montluçonnaise;CA;TPU;63009;61059;1950;10;3211; Prémilhat;2203;2149
240300608;CA Montluçonnaise;CA;TPU;63009;61059;1950;10;3098; Désertines;4586;4488
240300608;CA Montluçonnaise;CA;TPU;63009;61059;1950;10;3101; Domérat;9202;8996
240300608;CA Montluçonnaise;CA;TPU;63009;61059;1950;10;3185; Montluçon;41302;39889
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3009; Aubigny;164;118
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3162; Marigny;198;191
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3076; Chézy;213;208
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3124; Gouise;225;216
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3054; Chapeau;222;219
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3015; Bagneux;264;255
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3011; Aurouër;373;363
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3039; Bresnay;397;390
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3121; Gennetines;526;511
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3184; Montilly;553;537
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3180; Montbeugny;604;593
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3073; Chemilly;655;636
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3229; Saint-Ennemond;656;645
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3085; Coulandon;780;689
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3026; Besson;822;792
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3316; Villeneuve-sur-Allier;983;952
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3040; Bressolles;1066;1035
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3286; Toulon-sur-Allier;1153;1114
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3197; Neuilly-le-Réal;1398;1343
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3025; Bessay-sur-Allier;1428;1405
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3290; Trévol;1636;1564
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3200; Neuvy;1850;1640
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3275; Souvigny;2027;1958
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3013; Avermes;4030;3843
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3321; Yzeure;13022;12488
240300616;CA de Moulins;CA;TPU;56589;54304;2285;26;3190; Moulins;21344;20599
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3244; Saint-Marcel-en-Marcillat;148;143
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3216; Ronnet;193;187
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3206;La Petite-Marche;200;191
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3261; Sainte-Thérence;203;198
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3231; Saint-Fargeol;221;216
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3280; Terjat;224;220
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;63462; Virlet;271;265
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3167; Mazirat;289;284
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3007; Arpheuilles-Saint-Priest;344;330
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3233; Saint-Genest;367;356
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3161; Marcillat-en-Combraille;932;902
240300624;CC du Pays de Marcillat en Combraille;CC;4TX;4636;4512;124;12;3314; Villebret;1244;1220
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3067; Châtelperron;147;141
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3263; Saint-Voir;207;199
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3144; Liernolles;263;258
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3071; Chavroches;277;275
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3171; Mercy;301;291
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3177; Monétay-sur-Loire;297;291
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3284; Thionne;326;314
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3253; Saint-Pourçain-sur-Besbre;425;421
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3207; Pierrefitte-sur-Loire;521;514
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3300; Vaumas;545;536
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3240; Saint-Léon;631;612
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3132; Jaligny-sur-Besbre;677;652
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3265; Saligny-sur-Roudon;888;806
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3100; Diou;1547;1498
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3019; Beaulon;1629;1600
240300640;CC Val de Bresbre Sologne Bourbonnaise;CC;TPU;12076;11715;361;16;3102; Dompierre-sur-Besbre;3395;3307
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3228; Saint-Éloy-d'Allier;60;59
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3172; Mesples;134;132
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3249; Saint-Palais;198;192
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3317; Viplaix;281;272
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3088; Courçais;308;303
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3051; Chambérat;325;312
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3259; Saint-Sauvier;344;337
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3005; Archignat;351;344
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3072; Chazemais;439;434
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3288; Treignat;476;455
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3225; Saint-Désiré;481;467
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3246; Saint-Martinien;609;594
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3055;La Chapelaude;978;959
240300657;CC du Pays dHuriel;CC;4TX;7496;7310;186;14;3128; Huriel;2512;2450
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3147; Loddes;164;161
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3014; Avrilly;173;170
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3035;Le Bouchaud;219;212
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3196; Neuilly-en-Donjon;246;236
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3142; Lenax;260;255
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3299; Varennes-sur-Tèche;265;257
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3226; Saint-Didier-en-Donjon;282;272
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3154; Luneau;283;279
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3274; Sorbier;287;280
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3239; Saint-Léger-sur-Vouzance;296;291
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3178; Montaiguët-en-Forez;312;308
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3208;Le Pin;372;368
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3181; Montcombroux-les-Mines;424;410
240300673;CC le Donjon - Val Libre;CC;TPU;4706;4601;105;14;3103;Le Donjon;1123;1102
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3302; Veauce;42;42
240300681;CC Sioule, Colettes et Bouble;CC;4TX;5584;5476;108;18;3295; Valignat;70;69
